feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Gemmataceae_Genus	Treatment	A+ T- P-	4.37140705177532	0.655179160693524	66	51	6.97445505446305e-09	2.58752282520579e-06
Cloacibacterium	Treatment	A+ T- P-	2.89857693831003	0.49852874228942	66	46	2.10020546783547e-07	3.8958811428348e-05
Caulobacter	Treatment	A+ T- P-	2.54316415046052	0.485615921060412	66	35	1.94048102929046e-06	0.000239972820622253
Flavobacterium	Treatment	A+ T- P-	-2.25972858797838	0.51790398553745	66	53	4.764808401603e-05	0.00441935979248678
Pseudorhodoplanes	Treatment	A+ T- P-	1.62287221441646	0.400357443896351	66	18	0.000139144567186784	0.00910672556260753
Cytophagales_Genus	Treatment	A+ T- P-	-3.54175745627862	0.884227484798111	66	26	0.000163763192599856	0.00910672556260753
Bacteroidia_Genus	Treatment	A+ T- P-	-2.87472589587554	0.734029170639295	66	23	0.000220917870791018	0.00910672556260753
Longivirga	Treatment	A+ T- P-	2.19875060223126	0.553781979470279	66	43	0.000184304952880397	0.00910672556260753
Barnesiellaceae_Genus	Treatment	A+ T- P-	2.42347318901491	0.6174210248791	66	24	0.000214522607603657	0.00910672556260753
Agromyces	Treatment	A+ T- P-	-3.13937765706997	0.815812569403362	66	23	0.00027715022537068	0.0102822733612522
Agitococcus	Treatment	A+ T- P-	-1.78583448315736	0.472850813000165	66	18	0.000350647584883465	0.0118263867265241
Parachlamydiaceae_Genus	Treatment	A+ T- P-	1.20175071578758	0.33593947197559	66	15	0.000667853218348113	0.0206477953339292
Eremiobacteria_Genus	Treatment	A+ T- P-	-1.25739010521473	0.37650584709443	66	13	0.00140263681306223	0.0400290967420068
Polyangiia_Genus	Treatment	A+ T- P-	-1.23898808620603	0.373778100492205	66	12	0.00151329516009462	0.0401023217425075
Elstera	Treatment	A+ T- P-	-2.42266589937833	0.740024759802699	66	20	0.00171398317143294	0.0423925171067747
Saprospiraceae_Genus	Treatment	A+ T- P-	-1.90062645562089	0.597006837638752	66	16	0.00224669752162658	0.0520952987827163
Bdellovibrio	Treatment	A+ T- P-	-1.63029648129862	0.526330129982381	66	16	0.00289717620770206	0.0597140207254146
OM190_Genus	Treatment	A+ T- P-	-1.97362164526266	0.633665980134581	66	18	0.00275518971977023	0.0597140207254146
Sediminibacterium	Treatment	A+ T- P-	-1.65677764287252	0.54833115027896	66	17	0.00361335515193725	0.0705555137562485
Fuscovulum	Treatment	A+ T- P-	-1.58663123787224	0.533888067606563	66	18	0.00416690831034599	0.0772961491569181
Candidatus_Paracaedibacter	Treatment	A+ T- P-	-0.858197376947331	0.296496625805332	66	12	0.00518859300664558	0.0850374866835815
Comamonadaceae_Genus	Treatment	A+ T- P-	-2.4643383259443	0.857576337028691	66	29	0.00550107730567643	0.0850374866835815
Luteolibacter	Treatment	A+ T- P-	1.65645656836828	0.570526180148874	66	18	0.00505992616391497	0.0850374866835815
Kapabacteriales_Genus	Treatment	A+ T- P-	-1.10467315884971	0.383973351961275	66	13	0.00544981076289914	0.0850374866835815
Haliangiaceae_Genus	Treatment	A+ T- P-	-2.98662573686629	1.04615109287713	66	35	0.005796629234339	0.0860219778375908
Chlamydiales_Genus	Treatment	A+ T- P-	1.17928524758666	0.425850997390961	66	28	0.00734284730429904	0.0972927267819623
Dinghuibacter	Treatment	A+ T- P-	1.57287950307941	0.567225532566248	66	54	0.00726905236001059	0.0972927267819623
Plesiomonas	Treatment	A+ T- P-	1.5258162189242	0.54921697961174	66	65	0.00716562641438556	0.0972927267819623
Runella	Treatment	A+ T- P-	-1.23376897178855	0.450298846739807	66	15	0.00795466094946195	0.101764800422427
Piscinibacter	Treatment	A+ T- P-	-0.694704794623905	0.255872416518646	66	9	0.00850863344386932	0.105223433589184
SH.PL14	Treatment	A+ T- P-	1.6125792363376	0.599667921488786	66	50	0.00912408190413967	0.108498485777768
Pseudolysobacter	Treatment	A+ T- P-	-0.915857621913751	0.34177990785594	66	8	0.00935835995926842	0.108498485777768
Sphaerotilus	Treatment	A+ T- P-	-2.43798286526519	0.922152460098341	66	21	0.0102986354757921	0.115781629136936
Pseudobdellovibrio	Treatment	A+ T- P-	-0.947499313677058	0.362348971311163	66	12	0.011118273473778	0.116721170800125
Pseudoduganella	Treatment	A+ T- P-	-1.63374798646436	0.623143132462007	66	15	0.0109173120226746	0.116721170800125
Hirschia	Treatment	A+ T- P-	-0.902782144137635	0.346177438898167	66	12	0.0113260435277749	0.116721170800125
X67.14_Genus	Treatment	A+ T- P-	1.22911597185867	0.478661818029195	66	19	0.0125798872641801	0.126138869594887
Verrucomicrobiaceae_Genus	Treatment	A+ T- P-	-0.65980752556237	0.26094991387589	66	11	0.0139326813813083	0.136026968222773
AAP99	Treatment	A+ T- P-	-0.447452022255409	0.185763711640246	66	7	0.0188982294602932	0.177051010206891
Rhodospirillales_Genus	Treatment	A+ T- P-	-0.364139535083066	0.151427963114041	66	7	0.019089057704247	0.177051010206891
Nitrosomonas	Treatment	A+ T- P-	-1.62373947780354	0.700486693526219	66	22	0.0236564914146145	0.213282419397636
Opitutaceae_Genus	Treatment	A+ T- P-	-0.635558434710462	0.276330915803278	66	7	0.0247200647819363	0.213282419397636
Turneriella	Treatment	A+ T- P-	-0.448786447713523	0.194342281518871	66	7	0.0241680706322957	0.213282419397636
Haliscomenobacter	Treatment	A+ T- P-	-2.19232040233704	0.957698707163392	66	25	0.0253796130997231	0.213996283181756
Armatimonadaceae_Genus	Treatment	A+ T- P-	-0.656320509372603	0.288242207535086	66	8	0.026139477258827	0.215505468067218
NS9_marine_group_Genus	Treatment	A+ T- P-	-0.719301637516965	0.32145856394509	66	8	0.0287344093755976	0.219311375575424
Microtrichales_Genus	Treatment	A+ T- P-	1.35385370808611	0.603242187767098	66	29	0.0282787909380292	0.219311375575424
Deinococcus	Treatment	A+ T- P-	-1.06282077067734	0.475691382872137	66	14	0.0289656533778862	0.219311375575424
Rhodopseudomonas	Treatment	A+ T- P-	-0.743092818965525	0.330735751392895	66	14	0.028110407539747	0.219311375575424
