f76	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	5347	18	0	0	0	35	3	0	0	2165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	16260	0	673	0	0	0	0	0	0	0	0	11	21934	7	0	2	0	0	0	0	2	0	0	233	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	11	1211	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1725	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	9	0	0	0	0	0	0	0	0	3	0	0	222	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f77	0	24	0	0	0	0	58	8	26	0	0	0	10	187	0	0	0	129	0	0	2704	39	13	0	0	218	5	0	0	3834	13	0	117	0	0	0	12	0	0	0	0	0	0	0	57	23050	32	1273	14	3	0	0	0	0	0	2	368	8143	18	0	16	0	0	0	0	8	0	5	618	246	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	67	115	0	0	7	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	30	0	0	0	0	26	2251	11	43	20	314	0	0	0	0	0	0	0	3	9	0	0	0	0	12	37	10	0	0	0	0	0	0	885	25	0	0	5	0	0	7	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	49	0	21	111	0	0	0	0	0	0	0	3	0	0	358	0	0	0	0	0	0	0	0	62	3	0	43	0	0	22	0	0	0	0	3	111	0	3	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	19	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	365	0	0	0	0	0	0	8	0	0	0	0	0	0	0	23	0	12	0	0	4	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	28	0	0	0	0	0
f78	0	0	0	0	0	0	0	0	21	0	4	0	0	175	0	0	0	0	0	0	5303	31	0	0	0	121	4	0	0	845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	26073	0	497	0	3	0	0	0	0	0	5	22	17466	7	0	0	0	0	0	0	7	0	0	402	118	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	13	2875	0	0	0	343	0	0	0	0	0	0	0	0	8	0	0	0	0	0	65	3	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f79	0	0	0	0	0	0	0	0	25	0	6	0	0	158	0	0	0	0	0	0	8101	23	0	0	0	256	0	0	0	6997	7	0	0	0	0	0	0	0	0	0	0	0	2	0	28	10369	0	987	0	12	0	0	0	0	0	0	134	16126	20	0	0	3	0	0	0	9	0	0	698	201	0	0	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	29	6266	0	0	6	167	0	0	0	0	0	0	0	0	10	0	0	0	0	0	107	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	7	0	0	841	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f80	7	40	0	0	0	0	25	37	112	0	0	0	261	345	0	11	4	1680	0	0	2197	449	528	0	0	201	8	0	0	1928	19	0	662	0	0	0	143	0	28	8	0	0	84	7	55	23906	178	1472	22	16	0	16	28	0	0	0	2700	9539	58	81	37	0	0	0	82	36	0	87	927	459	0	0	11	0	16	0	0	0	0	22	0	0	9	0	0	0	117	140	21	0	8	0	5	57	18	0	0	0	0	0	2	10	0	0	0	0	0	41	378	0	22	117	0	0	0	0	72	1778	22	138	272	227	0	0	0	0	3	0	0	28	0	0	0	0	0	36	113	146	0	0	0	0	0	0	563	65	0	7	9	0	13	153	5	0	156	0	9	153	43	0	0	0	0	0	5	0	0	0	0	0	0	0	655	0	26	1398	0	0	0	0	0	0	59	0	0	2	284	0	0	0	0	0	0	0	0	57	0	0	333	0	0	85	0	0	0	0	0	104	0	9	0	0	6	71	0	0	0	5	0	0	160	0	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0	4	0	0	12	7	0	0	0	0	0	0	49	0	0	0	4	0	0	0	0	7	0	0	0	0	0	0	0	21	0	0	0	0	0	0	10	55	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	13	0	5	110	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	38	0	11	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	127	0	0	0	0	0
f196	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	10	23	0	0	0	5	0	0	0	2272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14281	0	4473	0	0	0	0	0	0	0	0	0	24795	0	0	0	0	0	0	0	0	0	0	274	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	73	0	0	0	0	0	0	0	1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0
f197	5	0	0	0	0	0	31	5	0	0	25	0	3	27	0	0	0	103	0	0	7	28	4	0	0	0	0	0	0	275	3	0	70	8	0	0	5	0	0	0	0	0	8	0	0	55195	0	2782	0	0	0	7	0	0	0	0	210	372	8	8	7	0	0	0	0	0	0	5	126	36	0	0	0	0	0	14	24	0	0	0	0	0	0	17	0	0	0	0	0	0	6	0	0	5	0	0	0	0	0	0	10	0	0	0	0	0	0	18	28	0	0	0	0	0	0	0	86	1483	0	0	39	17	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	6	0	5	0	0	2	7	6	0	1287	0	8	0	0	0	26	0	287	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	75	0	0	0	5	16	0	21	0	3	0	0	0	0	0	0	0	0	0	0	18	0	0	337	0	0	35	0	0	0	0	0	15	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	272	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	0	0	10	0	0	0	0	54	0	0	75	0	0	0	0	0	0	0	3	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	6	0	0	0	36	0	0	12	0	0	0	0	0	0	0	0	0	0	0
f198	0	0	0	2	0	0	2	0	5	0	0	0	0	335	0	0	0	0	0	0	10	13	0	0	0	0	3	0	0	2077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19027	0	6572	0	0	0	0	0	0	0	0	0	22681	0	0	0	11	0	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1141	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	225	0	0	0	0	0	21	0	1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0
f199	0	0	0	0	0	0	0	0	5	0	0	0	0	446	0	0	0	0	0	0	0	235	0	0	0	7	0	0	0	3819	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	21907	0	5434	3	0	0	0	0	0	0	0	0	17025	0	3	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	5609	0	0	0	40	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	17	0	1788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	3	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	67	0	0	0	0	0
f200	0	0	0	0	0	0	11	0	3	0	0	0	0	342	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	2522	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	19979	0	5697	0	0	0	0	0	0	0	0	0	28191	2	0	0	0	0	0	0	0	0	0	284	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	771	0	0	0	27	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	9	0	1502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	18	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0
f226	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	143	0	0	0	21	18	0	0	35	20	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	7	0	14	70100	0	2933	0	3	0	0	0	0	5	0	14	381	0	0	2	0	0	0	0	0	0	0	497	93	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	80	0	7	0	0	0	0	0	0	837	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	24	206	104	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	27	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	138	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0
f227	0	12	3	0	0	0	6	7	0	0	0	8	46	1322	0	0	0	1216	0	12	39	152	52	0	0	423	6	0	0	1352	32	0	44	0	0	72	41	0	16	10	0	0	48	0	76	42251	0	3326	5	5	0	0	0	0	0	0	4	2406	0	6	0	2	0	0	6	15	0	6	2362	421	0	0	0	0	0	0	0	0	0	17	0	0	0	0	15	0	0	0	0	5	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	46	231	0	7	8	0	11	7	0	0	3484	27	0	20	220	0	8	0	0	0	0	0	0	0	0	0	0	0	124	358	326	0	0	14	0	0	0	221	0	0	0	0	0	0	0	0	0	19	0	50	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	9	0	0	0	12	0	0	0	87	0	0	14	15	0	0	0	0	0	0	0	0	89	0	0	134	0	0	37	0	0	0	0	0	161	0	0	0	0	2	0	0	0	2	12	0	0	0	0	0	0	0	0	0	299	0	13	0	0	0	0	0	0	0	21	0	7	0	0	0	14	0	0	0	0	54	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	23	0	0	370	0	0	0	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	204	0	0	0	0	0	0	0	0	0	27	3	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	9	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	104	0	0	0	0	0
f228	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	10	0	0	13	13	6	0	0	28	0	0	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	50392	0	304	0	0	0	0	0	0	0	0	23	4290	0	0	0	0	0	0	0	0	0	0	114	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	349	0	0	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	17	38	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
f229	113	227	23	0	0	0	366	301	42	29	0	18	575	850	0	0	11	967	3	0	15	532	174	3	9	254	15	129	0	587	126	0	2106	14	0	70	821	0	234	41	0	0	121	0	62	18784	586	1154	144	47	0	27	3	0	0	10	506	1301	44	55	3	0	0	0	163	14	0	57	2318	429	0	9	527	0	0	0	0	0	4	69	0	0	35	0	122	0	283	78	6	0	357	79	17	12	26	9	0	0	0	0	30	377	0	5	4	0	0	4780	227	12	88	929	0	119	6	0	15	849	127	113	95	224	18	45	2	0	10	0	0	2	0	0	0	3	0	67	127	468	0	0	69	11	0	0	96	143	0	73	10	0	0	64	0	0	0	6	164	153	44	0	0	0	0	6	40	4	5	0	0	0	10	6	638	21	0	113	0	0	18	8	0	0	180	0	5	11	0	0	0	0	0	0	0	0	0	124	3	0	1576	0	0	599	39	0	0	0	9	610	0	15	0	0	36	48	0	0	2	6	0	0	76	0	0	0	14	0	0	617	0	23	8	0	0	0	0	0	5	31	0	21	0	0	0	78	0	4	0	0	1319	0	2	0	0	0	0	0	0	11	0	0	0	7	0	0	13	4	51	0	0	7	54	8	0	93	0	2	0	25	19	2	0	0	0	0	0	3	0	5	0	0	0	0	23	0	16	0	0	0	0	0	93	0	236	0	0	12	0	6	22	0	0	0	0	0	21	0	0	125	0	0	0	0	7	0	0	0	31	0	261	0	31	0	19	0	14	0	15	0	0	15	0	29	0	0	0	0	0	0	0	0	0	0	4	0	0	958	0	0	0	0	3	0	11	0	78	0	4	0	0	0
f230	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	12	0	0	10	14	10	0	0	22	0	0	0	209	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	65342	0	725	0	0	0	0	0	0	0	0	0	161	0	0	2	0	0	0	0	0	0	0	112	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	23	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	25	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f256	0	0	0	0	0	0	19	45	0	0	0	10	26	1160	0	42	0	970	0	0	15	65	1349	0	0	1169	16	0	0	1980	0	0	6	0	0	35	2	0	0	0	0	0	0	0	66	39783	0	5664	0	10	0	0	0	0	12	5	0	3799	0	0	0	0	0	0	0	0	0	11	638	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0	2055	7	0	0	164	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3916	0	0	0	0	0	0	415	0	226	6	0	0	0	2	0	0	175	0	4	18	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	25	0	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	24	0	0	5	0	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	8	31	0	0	740	0	0	0	18	15	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	169	0	0	0	0	0
f257	0	0	0	0	0	0	9	0	3	0	15	0	0	71	0	0	0	305	0	0	5	6	5	0	0	130	4	0	0	178	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	59361	0	3318	4	0	0	0	0	0	0	0	8	279	2	0	0	2	0	0	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	48	0	0	0	0	562	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2820	0	0	0	0	0	0	1171	2	74	0	3	0	0	0	10	0	29	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	15	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	54	0	0	0	0	0	0	0	0	13	3	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	19	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
