feature	Oleiharenicola	Halomonas	Hyphomicrobiales_Incertae_Sedis_Genus	Pseudorhodoplanes	Pedosphaeraceae_Genus	Parachlamydiaceae_Genus	Fluviicoccus	Dechloromonas	Rickettsiaceae_Genus	Rhodovarius	Chitinophagales_Genus	Culicoidibacter	Mycobacterium	Clostridium	SWB02	Noviherbaspirillum	Crenobacter	Blfdi19_Genus	Streptococcus	Paracaedibacteraceae_Genus	Lutispora	Beijerinckiaceae_Genus	Piscinibacter	Nitrospira	Rhodococcus	Frankiales_Genus	Pseudobdellovibrionaceae_Genus	Phaselicystis	Pedomicrobium	Reyranella	JGI_0001001.H03	Candidatus_Bealeia	Luteolibacter	Babeliaceae_Genus	Micrococcus	Arthrobacter	Sphingorhabdus	SH.PL14	env.OPS_17_Genus	Lysobacter	Luteimonas	Terrimonas	Leuconostoc	Acinetobacter	Rubrivivax	Aeromonas	Larkinella	Burkholderia.Caballeronia.Paraburkholderia	Fimbriimonadaceae_Genus	Brevifollis	Pajaroellobacter	IS.44	Bacteroidia_Genus	Sphaerotilus	Pseudomonas	Brevibacterium	Kocuria	Marmoricola	NS9_marine_group_Genus	Hyphomicrobium	Cytophaga	Gracilibacteria_Genus	Verrucomicrobiaceae_Genus	Candidatus_Protochlamydia	Armatimonadaceae_Genus	Microscillaceae_Genus	Fimbriiglobus	Paludibaculum	Xanthobacteraceae_Genus	Vampirovibrionaceae_Genus	Flavobacterium	Gammaproteobacteria_Genus	Devosia	Saprospiraceae_Genus	Peptostreptococcus	Leeia	Chlamydiales_Genus	Emticicia	Phreatobacter	Microtrichaceae_Genus	Ensifer	Novispirillum	Haliangiaceae_Genus	Paucibacter	Telmatocola	Paracoccaceae_Genus	Nocardia	Paenirhodobacter	Nitrosomonas	Novosphingobium	Comamonadaceae_Genus	Candidatus_Berkiella	Pseudobdellovibrio	Chitinibacter	Sphingomonas	Gemmataceae_Genus	Polyangiia_Genus	P3OB.42	A21b_Genus	Cetobacterium	Deinococcus	Shinella	Sutterellaceae_Genus	Fluviicola	Legionella	Exiguobacterium	Burkholderiales_Genus	AAP99	SM2D12_Genus	Chitinilyticum	Vibrio	Roseomonas	Candidatus_Ovatusbacter	Shewanella	Bryobacteraceae_Genus	Caulobacter	Tetragenococcus	Abditibacterium	Chitinivorax	Stagnimonas	Neochlamydia	Sandaracinaceae_Genus	Leucobacter	Chryseotalea	Ga0077536_Genus	Verrucomicrobiia_Genus	Phenylobacterium	Opitutaceae_Genus	Anaerovorax	Micavibrionales_Genus	X37.13_Genus	Microtrichales_Genus	Paracoccus	Sphingopyxis	Cytophagales_Genus	Kinneretia	Rhizorhapis	cvE6_Genus	Pir4_lineage	mle1.27_Genus	Methylibium	IMCC26207	Polymorphobacter	Dyadobacter	Aquihabitans	Brevundimonas	Agromyces	LiUU.11.161_Genus	Undibacterium	Stella	Neisseriaceae_Genus	TM7a	Caedibacter	X0319.6G20_Genus	JG30.KF.CM45_Genus	Parvibium	Pseudolysobacter	Arthrospira_PCC.7345	Citrobacter	Dinghuibacter	Chryseobacterium	Glutamicibacter	Rhizobium	Sediminibacterium	Candidatus_Megaira	alphaI_cluster	Runella	Chitinophagaceae_Genus	NS11.12_marine_group_Genus	Dietzia	Cellvibrio	Candidatus_Alysiosphaera	Gemmatimonas	TRA3.20_Genus	Aquicella	KD4.96_Genus	Curvibacter	Brucella	Gemmata	CM1G08	Bradyrhizobium	Aerococcus	Staphylococcus	Vicinamibacteraceae_Genus	Flavihumibacter	Kineosporiaceae_Genus	Candidatus_Paracaedibacter	Rhodospirillales_Genus	Thermodesulfobacteriota_Genus	Rhizorhabdus	Bdellovibrio	BIrii41_Genus	Kapabacteriales_Genus	SH3.11	Dechlorobacter	Aeromicrobium	CL500.3	Ruminiclostridium	Nocardioides	Aquabacterium	Sphingomonadaceae_Genus	Pyrinomonadaceae_Genus	Nevskiaceae_Genus	Holosporaceae_Genus	Acetobacteroides	Variovorax	Candidatus_Obscuribacter	Oscillospiraceae_Genus	Bosea	bacteriap25_Genus	Oligoflexaceae_Genus	Pirellula	Babeliales_Genus	Weeksellaceae_Genus	X67.14_Genus	Malacoplasma	Blastomonas	PeM15_Genus	Cypionkella	OM190_Genus	Cloacibacterium	Paraconexibacter	Defluviimonas	Rhodovastum	Massilia	Parageobacillus	X11.24_Genus	Thermomicrobiales_Genus	Gordonia	Fuscovulum	Paraclostridium	Pseudomonadales_Genus	Methylorubrum	Gemmobacter	MBNT15_Genus	Blastocatella	Brevitalea	Rhizobiaceae_Genus	Spirosomataceae_Genus	Sporichthyaceae_Genus	Gemmatimonadaceae_Genus	Rhodocyclaceae_Genus	Weissella	Stenotrophomonas	Planococcus	Simkaniaceae_Genus	Azospira	Hirschia	Plesiomonas	Agitococcus	OLB12	Thermus	Rheinheimera	Sporomusaceae_Genus	Chitinimonas	Raineya	Barnesiellaceae_Genus	Hydrogenophaga	NB1.j_Genus	Acidovorax	Pirellulaceae_Genus	Altererythrobacter	Rhodopseudomonas	Bacillus	Mesorhizobium	Hyphomicrobiales_Genus	Hassallia	Gaiellales_Genus	Nannocystis	WY65	Chthoniobacter	Eremiobacteria_Genus	Turneriella	Permianibacter	Hyphomonadaceae_Genus	Pseudoduganella	Lactococcus	Nordella	Delftia	Sandaracinus	Steroidobacter	Elstera	Longivirga	Latilactobacillus	Serinicoccus	Roseicella	Marinomonas	Tundrisphaera	IMCC26134	Parcubacteria_Genus	Vogesella	Ferruginibacter	Flectobacillus	Desulfotomaculum	Obscuribacteraceae_Genus	Peptostreptococcaceae_Genus	Romboutsia	Opitutus	Bryobacter	Sphingobium	AKYH767_Genus	Bordetella	Haliscomenobacter	Panacibacter	Pseudoxanthomonas	Niveibacterium	Blastococcus	Elsteraceae_Genus	SM1A02	Perlucidibaca	Coxiella	Polyangiaceae_Genus	Aurantisolimonas	Anaerotaenia	Limosilactobacillus	CL500.29_marine_group
f16	0	0	0	0	8	0	8	737	0	0	0	3617	7	5	0	0	1869	0	0	0	0	0	0	0	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	30	0	58283	0	4	0	0	0	0	56	0	3289	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	777	121	0	0	0	0	0	71	151	0	0	0	5	3560	0	209	0	52	0	0	0	0	0	0	0	0	0	0	5	581	8	0	232	225	21	0	0	0	0	356	0	16	0	434	0	5	0	0	0	0	0	0	0	3	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	20	0	0	0	115	0	0	0	0	0	0	0	0	0	0	46	0	27	14	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	32	0	0	0	0	0	0	11	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	4	0	0	0	0	64	16	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	11	0	0	0	0	4	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3996	9	0	0	0	0	0	120	0	0	0
f17	0	0	71	0	23	0	0	1877	0	0	0	4054	38	140	0	0	3073	0	8	0	0	0	0	0	19	0	33	0	5	0	0	0	0	0	0	0	0	24	2	0	0	0	0	29	44	27387	0	0	0	0	0	0	0	0	978	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	163	304	0	0	0	0	23	0	1116	0	99	0	0	1787	0	1410	0	496	0	0	0	0	0	0	0	19	0	0	0	6272	0	0	313	146	110	0	0	0	0	396	5	330	0	170	0	5	0	0	0	0	5	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	22	0	0	107	0	4	0	0	0	0	0	0	26	2	0	0	0	0	426	0	0	41	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	20	0	0	0	0	0	0	0	0	0	6	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	18	0	0	0	3	0	0	9	0	16	0	0	115	0	0	0	0	7	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986	0	0	0	0	0	0	785	0	0	0
f18	0	0	0	0	0	0	0	358	0	0	0	1927	7	30	0	0	1269	0	9	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	50350	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	41	0	0	0	0	8	0	192	0	9	0	0	220	0	184	0	101	0	0	0	0	0	0	0	0	0	0	0	4352	0	0	65	0	20	0	0	0	0	166	0	55	0	242	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	112	0	0	0
f19	0	0	2	0	5	0	0	935	0	0	0	3942	13	4	0	0	2664	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	8	17	39100	0	0	0	0	0	0	0	0	681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	177	0	0	0	0	8	0	659	0	17	0	0	2319	0	666	0	151	0	0	0	0	0	0	0	3	0	0	0	6376	0	0	323	185	41	0	0	0	0	344	0	166	0	111	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	3	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	24	0	0	35	0	0	0	0	4	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	354	0	0	0
f20	0	0	98	8	50	3	0	2893	0	0	0	4373	155	9	0	0	3590	0	0	0	0	0	0	0	37	0	37	0	5	0	0	0	0	0	0	0	0	27	0	0	4	0	0	29	53	21442	0	0	0	0	0	0	0	0	1681	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	219	573	20	0	0	0	69	0	1679	0	295	0	0	4821	0	2016	30	1077	0	0	0	0	0	0	0	15	0	0	0	5772	0	0	463	297	175	0	0	0	0	225	0	538	0	133	0	10	0	0	0	0	7	0	0	0	0	25	0	0	0	0	0	8	0	0	3	0	0	0	20	0	0	30	0	0	174	0	11	0	0	0	0	0	0	20	5	0	0	0	0	666	0	0	86	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	27	0	50	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	46	0	0	0	0	0	0	37	0	37	0	0	112	0	0	0	0	22	91	28	0	0	503	4	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1065	0	0	0	0	0	0	1202	0	0	0
f46	36	0	75	0	558	0	0	1627	0	0	0	211	185	656	25	0	558	0	0	0	0	0	18	93	92	0	258	13	35	22	0	0	35	0	0	0	143	57	994	0	95	0	0	0	0	19774	0	0	3	30	34	0	190	156	2384	0	122	0	4	0	106	10	0	0	38	33	355	3	0	0	519	227	6	223	0	0	0	57	1208	0	88	0	1805	1434	86	2543	50	265	131	13	310	0	79	0	0	101	38	8	0	3008	0	0	222	158	172	0	6	0	0	35	0	120	0	22	0	51	0	0	0	0	0	76	0	2239	6	0	0	9	0	0	0	0	12	8	4524	0	4	0	19	18	0	18	0	0	54	0	0	0	435	0	0	0	0	20	4	0	68	0	0	605	0	10	308	88	0	19	31	4	0	0	295	0	0	0	0	0	17	0	118	0	178	0	0	41	0	0	23	0	0	0	100	48	61	0	0	0	0	0	10	107	0	11	3	0	0	0	221	0	132	0	0	58	0	0	0	0	0	0	0	320	86	4	0	0	0	0	4	0	158	71	0	0	0	1444	3	0	0	46	0	0	16	0	0	0	0	0	0	6	109	210	43	0	5	243	0	0	6	66	9	56	0	0	16	0	0	0	47	0	0	13	0	53	22	0	0	10	0	17	0	3	0	1178	19	0	0	4	0	981	0	0	0	0	0	0	21	0	0	10	0	0	0	0	631	0	4	574	0	0	0	0	0	0	434	0	0	0
f47	0	0	31	0	3	0	0	1178	0	0	0	289	156	197	0	0	679	0	6	0	0	0	0	0	0	0	33	0	10	7	0	0	11	0	0	0	0	50	0	0	0	0	0	0	0	50029	0	0	0	0	0	0	0	0	3930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	281	0	0	0	0	0	0	1028	0	67	0	0	1396	0	2325	13	160	0	0	0	0	0	0	0	0	0	0	0	457	0	0	190	143	256	0	0	0	0	176	0	85	0	49	0	79	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	2	0	0	24	0	0	0	0	0	0	22	0	0	43	0	0	0	9	0	0	0	0	15	3	0	0	0	0	698	0	0	377	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	11	0	124	0	0	0	0	14	0	0	0	0	0	0	0	9	0	0	0	0	10	0	0	0	0	0	0	0	72	0	127	0	4	47	3	0	0	0	0	0	0	0	941	0	0	3	0	0	0	0	0	0	0	0	0	1149	8	0	0	17	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	0	0	0	728	0	0	0	0	0	0	16	6	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	521	0	0	0
f48	158	0	33	0	60	0	0	1430	0	0	0	47	645	16	8	0	831	0	6	31	0	0	0	53	255	0	0	0	41	0	0	0	0	0	16	0	66	14	562	42	654	0	0	0	0	4433	0	0	0	21	5	0	836	312	6091	0	0	0	0	0	9	3342	24	0	0	0	0	0	0	0	93	134	0	20	0	73	0	1048	839	13	54	0	540	7062	0	303	173	224	65	153	690	0	29	0	19	91	13	0	0	229	0	0	0	230	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	24	0	228	0	0	14	0	0	0	0	0	56	0	263	0	0	0	0	36	0	0	0	0	0	0	0	0	3281	0	39	0	0	3	9	0	0	0	0	36	0	0	32	135	0	0	151	58	0	0	3620	0	0	0	0	0	0	0	104	0	41	0	0	3	0	0	0	0	0	0	3903	7	5	0	0	0	0	0	48	675	0	0	0	0	0	0	49	0	83	0	0	46	0	0	0	0	25	0	0	36	160	0	0	0	0	0	0	0	128	205	0	0	0	42	0	0	0	1610	0	0	0	0	0	0	0	0	0	25	37	0	0	0	0	54	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	48	21	0	0	5169	0	0	0	0	0	58	0	0	0	0	0	176	0	0	22	44	0	0	0	0	0	0	0	0	0	0	280	0	0	4845	34	7	0	0	0	0	54	0	0	0
f49	0	0	9	0	21	0	0	538	0	0	0	669	103	239	0	0	1112	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	27	0	0	0	0	76	0	0	0	0	0	0	14	75043	0	0	0	0	0	0	0	0	2078	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	129	227	0	0	0	0	0	0	570	0	29	0	0	1540	0	1610	0	122	0	0	0	0	0	0	2	21	0	0	0	1017	0	0	282	192	148	0	0	0	0	309	0	59	0	104	0	37	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	18	0	0	44	0	0	0	0	0	0	0	0	11	0	0	0	0	0	361	0	0	188	0	0	5	0	0	0	0	45	0	0	0	0	0	0	0	5	0	63	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	64	0	71	0	0	48	6	0	0	4	0	7	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	522	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	437	0	0	0	0	0	0	320	0	0	0
f50	0	0	0	0	0	0	0	546	0	0	0	173	26	22	0	0	198	0	16	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	54174	0	0	0	0	0	0	0	0	1292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	35	0	0	0	0	0	0	135	0	18	0	0	295	0	414	0	38	0	0	0	0	0	0	0	4	0	0	0	297	0	0	49	45	60	0	17	0	0	132	0	0	0	19	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	64	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	18	0	0	9	0	0	0	18	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	87	0	0	0
f76	0	0	0	0	0	0	0	0	0	0	0	5347	18	0	0	0	2165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	16260	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	30	0	0	0	0	0	0	60	0	11	0	0	1211	0	233	0	74	0	0	0	0	0	0	0	7	0	0	0	21931	0	0	0	0	0	0	0	0	0	1723	0	23	0	438	0	0	0	0	0	0	0	0	0	3	0	9	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f77	0	0	0	0	10	0	0	129	0	0	0	2704	39	13	0	0	3834	0	0	0	0	0	0	0	0	0	0	0	14	3	0	0	0	0	0	0	0	8	32	0	58	0	0	0	0	23038	0	0	0	0	0	0	67	115	1250	0	0	0	0	0	10	0	0	0	0	0	25	0	0	0	124	216	0	18	0	0	0	7	187	0	26	0	117	2251	11	618	0	314	24	0	12	0	0	0	0	18	3	0	0	8143	0	0	12	37	26	0	0	0	0	876	0	57	0	320	0	0	0	0	0	0	8	0	0	49	0	21	0	0	0	0	0	0	0	0	368	0	0	3	0	0	0	0	0	0	16	0	358	0	43	0	0	0	0	0	3	0	3	0	0	0	0	0	41	15	0	0	0	0	0	0	111	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	5	0	62	0	0	16	0	0	0	12	0	0	19	22	0	0	0	0	0	0	0	0	0	30	0	2	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	15	0	0	8	0	0	0	0	0	0	12	0	0	23	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	111	0	0	0	9	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	10	0	4	0	0	0	0	28	0	0	0
f78	0	0	0	0	0	0	0	0	0	0	0	5303	31	0	0	0	845	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	26053	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	121	0	0	0	0	0	0	175	0	13	0	0	2875	0	402	0	343	0	0	0	0	0	0	0	7	0	0	0	17466	0	0	0	65	21	0	0	0	0	263	0	23	0	159	0	0	0	0	0	0	7	0	0	0	0	20	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	12	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0
