f78	0	0	0	0	0	0	0	0	5303	31	0	0	0	845	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	26053	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	115	121	0	0	0	0	0	0	0	0	0	175	0	13	0	2875	0	343	0	0	0	0	0	0	7	0	0	0	17466	0	0	65	21	0	0	0	0	0	0	263	0	0	0	23	0	159	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	20	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	357	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	22	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
f79	0	0	0	0	0	0	0	0	8101	23	0	0	0	6997	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	9	0	0	0	0	0	0	14	0	0	10369	0	0	0	0	0	0	987	0	0	0	0	0	0	0	0	0	0	0	0	0	146	249	0	0	0	0	0	0	0	0	6	158	0	29	0	6266	0	167	0	0	0	0	0	0	20	0	0	0	16126	0	0	107	25	0	0	0	0	0	0	313	0	0	0	28	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	134	0	0	7	0	0	0	0	0	0	0	841	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	34	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	698	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	2784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f80	7	37	0	261	0	1680	0	0	2197	449	528	0	0	1928	5	0	0	0	0	0	28	0	0	77	7	22	9	0	16	0	0	0	0	82	36	87	0	178	25	16	0	71	0	0	23891	0	9	0	0	115	140	1472	0	0	0	57	18	0	0	0	0	0	0	0	0	378	201	0	22	117	0	0	0	0	8	272	342	0	72	662	1778	22	227	40	0	141	0	3	0	54	28	0	0	9539	0	36	113	112	0	5	0	0	0	0	563	0	0	13	53	0	156	0	65	153	0	11	0	41	0	0	0	0	0	15	655	0	26	0	0	160	0	0	0	0	0	0	2700	0	0	0	2	0	0	0	0	0	37	284	57	0	333	0	0	0	0	0	5	0	0	0	0	138	0	0	0	43	0	0	0	93	0	0	12	0	0	0	0	0	0	0	19	81	0	0	6	0	0	0	0	0	4	927	7	5	0	0	0	49	153	0	0	7	0	7	0	0	0	0	0	22	0	4	21	0	0	0	0	85	0	55	0	0	0	3	0	0	0	9	0	0	0	0	0	0	459	0	0	59	0	0	0	0	0	0	0	9	8	257	0	0	0	13	0	5	110	0	0	0	0	0	0	25	0	0	0	0	0	0	0	11	0	9	38	11	0	0	0	0	10	0	0	1398	4	0	0	0	442	0	0	2	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	146	0	0	0	0	0	0	127	0	0	0	0
f196	0	0	0	0	0	0	0	0	10	23	0	0	0	2272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14281	0	0	0	0	0	0	4470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	253	0	0	0	264	0	0	0	0	0	0	0	21	0	0	0	0	24795	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	2955	0	0	0	0	0	0	0	0	0	0	0	17	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0
f197	5	5	0	0	0	103	0	0	7	28	0	0	0	275	26	0	0	0	0	0	0	0	0	8	0	0	0	0	7	0	0	0	0	0	0	5	0	0	31	0	14	0	24	0	55195	0	0	0	0	0	0	2782	0	0	0	5	0	0	0	0	10	0	0	0	0	28	0	0	0	0	0	0	0	0	0	39	27	0	86	70	1483	0	17	0	0	5	0	0	18	8	0	0	0	372	0	0	0	0	5	0	0	0	2	7	6	0	0	0	0	0	287	0	0	0	0	0	0	18	0	0	0	0	0	0	10	0	0	0	0	0	0	0	5	0	0	0	210	0	0	0	0	0	0	0	0	0	7	0	18	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	25	15	0	0	40	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1287	0	126	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	21	0	6	0	0	0	0	0	8	0	54	0	0	0	0	0	0	0	0	0	0	0	12	0	14	0	0	0	0	0	0	0	0	0	7	30	0	0	0	3	75	0	0	0	75	0	0	0	0	22	0	0	0	0	0	0	19	0	0	6	0	0	0	0	36	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
f198	0	0	0	0	0	0	0	0	10	13	0	0	0	2077	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	19027	0	0	0	0	0	0	6559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	1141	0	0	0	0	0	0	0	20	0	0	0	0	22681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1028	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	3122	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0
f199	0	0	0	0	0	0	0	0	0	235	0	0	0	3819	17	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21907	0	0	0	0	0	0	5434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	5609	0	40	0	0	0	0	0	13	0	0	0	0	17025	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1788	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2492	0	0	0	0	0	0	0	0	0	0	0	10	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0
f200	0	0	0	0	0	0	0	0	0	20	0	0	0	2522	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	19979	0	0	0	0	0	0	5697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	771	0	27	0	0	0	0	0	12	2	0	0	0	28191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1481	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	281	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	13	0	0	0	0	0	0	0	0	0	2999	0	0	0	0	0	0	0	0	0	0	0	14	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0
f226	0	0	0	0	0	143	0	0	0	21	18	0	0	366	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	70097	0	0	0	0	0	0	2933	0	0	0	0	0	0	0	0	0	0	0	0	0	80	35	0	7	0	0	0	0	0	0	0	190	0	0	0	837	0	22	0	0	0	0	0	0	0	0	0	0	381	0	24	206	0	0	20	0	0	0	0	130	0	0	0	14	0	27	0	0	40	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	44	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	16	0	0	138	0	0	0	0	0	4	0	0	0	0	0	0	0	0	93	0	0	22	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	85	0	0	0	0
f227	0	7	0	46	0	1216	0	12	39	152	47	0	0	1352	0	0	0	0	72	0	16	0	0	48	0	5	5	0	0	0	0	0	0	6	15	6	0	0	6	0	0	0	0	0	42251	0	0	15	0	0	0	3324	5	0	0	0	0	0	5	0	0	0	0	0	0	231	418	0	7	8	0	11	0	7	0	20	1322	0	0	44	3484	27	220	12	8	38	0	0	0	0	0	0	0	2406	0	124	358	0	0	0	14	0	0	0	221	0	0	0	76	0	19	0	0	70	0	0	0	46	0	0	0	0	0	0	5	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	15	89	0	134	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	8	0	0	0	0	0	0	0	13	32	6	0	0	0	0	12	0	0	0	0	2362	0	12	14	0	0	54	0	0	7	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	23	37	0	370	0	0	0	12	0	10	0	50	0	0	0	0	0	0	403	0	0	87	0	0	0	0	0	0	0	0	10	123	0	0	0	0	0	0	0	0	0	0	27	0	3	17	204	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	21	0	0	0	299	0	4	0	0	0	9	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	326	0	0	0	0	0	0	104	0	0	0	0
f228	0	0	0	0	0	10	0	0	13	13	6	0	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50392	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	35	28	0	0	0	0	0	0	0	0	3	130	0	0	0	349	0	16	0	0	0	0	0	0	0	0	0	0	4290	0	17	38	0	0	0	0	0	0	0	84	0	0	0	5	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	33	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	12	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
f229	113	301	29	575	0	960	3	0	15	519	174	129	0	587	0	0	11	0	70	0	216	0	0	115	0	144	47	0	27	0	0	0	0	163	14	57	0	584	366	0	0	48	0	4	18776	0	35	122	0	283	78	1154	0	79	12	12	26	9	0	0	30	377	0	0	0	227	251	0	88	929	0	108	0	6	353	95	850	0	15	2098	849	127	224	223	45	817	0	10	0	44	0	12	0	1301	0	67	127	40	0	0	69	11	0	0	96	0	0	0	62	0	0	6	143	153	0	0	0	4773	0	0	0	0	10	6	638	21	0	0	15	76	0	0	8	0	0	5	480	0	0	0	11	0	0	0	0	0	0	0	124	0	1576	0	0	0	39	21	40	0	0	9	0	113	0	0	0	36	0	0	0	610	0	15	0	3	0	0	0	0	0	23	126	55	0	0	36	0	18	0	0	0	11	2313	73	6	78	0	0	1319	64	0	0	0	0	11	4	0	7	4	0	69	0	0	4	0	0	7	54	599	0	93	0	0	0	25	0	19	0	164	0	0	0	0	0	5	429	3	0	180	0	23	0	0	0	0	0	10	41	93	0	0	0	12	0	6	22	0	0	0	0	0	0	125	236	0	0	0	0	7	0	521	31	15	261	31	19	14	5	0	0	0	15	113	31	0	0	0	617	0	29	0	0	0	0	0	13	0	0	51	0	0	10	958	0	0	0	0	3	9	468	0	11	0	17	0	0	78	0	0	0	0
f230	0	0	0	0	0	12	0	0	10	14	10	0	0	209	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65342	0	0	0	0	0	0	725	0	0	0	0	0	0	0	0	0	0	0	0	0	23	22	0	0	0	0	0	0	0	0	0	108	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	161	0	5	9	0	0	0	0	0	0	0	72	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	8	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
f256	0	45	0	26	0	970	0	0	15	65	1349	0	0	1980	0	0	0	0	35	0	0	0	0	0	0	0	10	0	0	0	12	0	0	0	0	11	0	0	19	0	0	0	0	0	39783	0	0	4	0	0	0	5647	0	0	22	0	0	0	0	0	0	0	0	0	0	0	1169	0	11	0	0	0	0	0	0	0	1160	5	0	6	2055	7	164	0	0	0	0	0	0	0	0	0	0	3795	0	0	0	0	0	0	0	0	0	0	415	0	0	0	66	0	175	0	0	18	0	42	0	0	0	0	0	0	0	0	0	0	6	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	638	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	8	31	5	0	733	0	0	0	15	0	15	0	4	0	0	0	0	0	0	312	0	0	40	0	0	19	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	4	24	0	0	4	120	0	0	0	0	0	47	0	0	0	0	0	0	0	5	13	0	0	0	0	0	0	3916	0	0	0	0	0	0	169	0	0	0	0
f257	0	0	0	0	0	305	0	0	5	6	5	0	0	178	10	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	13	0	0	0	9	0	0	0	0	0	59361	0	0	0	0	48	0	3318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	19	7	71	0	0	20	562	4	0	0	0	0	0	0	0	2	0	0	0	279	0	0	0	3	0	0	0	0	0	0	1171	0	0	0	0	0	29	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	15	0	0	8	0	0	0	0	0	0	0	0	0	0	0	43	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0	0	0	0	0	0	0	0	48	5	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	10	0	0	0	6	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2820	0	0	0	0	0	0	0	0	0	0	0
f258	0	21	5	0	0	430	0	0	16	11	109	0	0	930	0	0	0	0	29	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	47993	0	0	0	0	0	0	4338	0	0	31	0	0	0	0	0	0	0	0	0	0	0	907	0	0	0	0	0	0	0	0	4	440	0	0	0	3672	0	118	0	0	0	0	0	0	0	0	0	0	11316	0	0	0	0	0	0	0	0	0	0	291	0	0	0	21	0	198	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	59	0	21	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	431	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	13	0	0	549	0	0	0	9	0	0	0	0	0	0	0	0	0	0	218	0	0	29	0	0	0	0	0	0	0	0	0	210	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	3	17	0	0	5	32	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1894	0	0	0	0	0	0	118	0	0	0	0
f259	0	29	0	0	0	276	0	0	14	41	264	0	0	1588	13	0	0	0	19	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	36874	0	0	0	0	0	0	5317	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1028	0	0	0	0	0	0	0	0	0	635	0	0	0	3049	0	145	0	0	0	0	0	0	0	0	0	0	1916	0	0	0	0	0	0	0	0	0	0	345	0	0	10	36	0	153	0	0	11	0	45	0	20	0	0	0	0	0	0	6	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	35	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	436	0	0	0	5	0	11	0	4	0	0	0	0	0	0	178	0	0	34	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	45	0	0	0	0	0	5	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	1315	0	0	0	0	0	0	139	0	0	0	0
f260	0	57	0	0	0	502	0	0	17	76	267	0	0	1877	13	0	0	0	37	0	0	0	0	6	0	0	0	0	0	0	13	0	0	0	0	14	0	0	0	0	0	0	0	0	32109	0	0	0	0	0	0	4217	0	0	7	0	0	0	0	0	0	0	0	0	0	11	1513	0	0	0	0	0	0	3	0	0	890	5	0	0	4175	0	176	0	0	0	0	0	3	0	0	0	0	4416	0	0	0	0	0	0	0	0	0	0	333	0	0	0	58	0	77	0	5	29	0	42	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	45	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	597	0	0	0	16	0	19	0	0	0	0	0	0	0	0	370	0	0	29	0	0	11	0	0	0	0	0	0	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	39	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	703	0	0	0	0	0	0	207	0	0	0	0
f376	0	19	34	51	0	935	0	0	44	140	332	0	0	441	7	0	0	0	0	0	5	0	0	12	0	25	4	0	6	0	0	0	0	0	34	38	0	17	13	0	0	0	0	0	48844	0	0	0	0	0	0	1725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	15	0	668	0	133	10	244	0	118	3	0	0	7	0	11	322	0	0	0	240	0	0	455	21	0	0	0	0	0	0	82	0	0	0	28	0	22	0	0	453	0	23	0	0	0	0	0	0	0	0	71	0	0	0	0	11	0	0	0	0	0	0	30	0	0	0	34	0	0	0	0	0	7	0	120	0	23	0	0	0	0	0	2	0	0	0	0	160	0	0	0	0	0	0	0	86	3	13	0	0	0	0	0	0	0	0	9	42	0	0	0	0	0	0	0	0	0	597	0	0	15	0	0	10	0	0	0	9	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	200	0	0	0	3	0	55	0	0	0	0	0	0	0	0	220	0	0	139	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	8	1407	0	0	0	0	0	13	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	925	0	0	0	0	0	0	111	0	0	0	0
